"","mean_passive","rating","num_words_review","id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","percent_pronoun","type_token","mean_words_sent","num_cap_letters_sent","num_punc_sent"
"35",0,"4",49,"356182","0","2","0","0","2","0","1","1","0",3,0.444444444444444,0.895833333333333,9.8,1.2,1.4
"36",0,"5",69,"451743","1","1","0","0","1","1","1","2","1",3,0.4,0.742857142857143,8.625,2.375,1.625
"37",0,"0",100,"370482","0","0","0","0","0","0","0","1","1",1,0.333333333333333,0.659574468085106,12.5,2.5,1.5
"38",0,"5",44,"43042","0","1","0","0","3","0","0","3","0",4,0.333333333333333,0.866666666666667,7.33333333333333,1,2.66666666666667
"39",0,"5",75,"208909","0","2","0","0","4","0","0","4","0",7,0.375,0.77027027027027,15,2.2,2.4
"40",0,"0",2,"268278","0","1","0","0","1","0","1","1","0",1,0,1,2,0,23
"41",0,"5",44,"546100","0","0","0","1","1","0","0","3","0",3,0.375,0.86046511627907,11,1.5,2.5
"42",0,"5",42,"390233","0","0","0","0","0","0","0","0","0",1,0.428571428571429,0.825,10.5,1.25,1.5
"43",0,"5",45,"564183","1","2","1","1","2","2","1","1","1",2,0.25,0.772727272727273,15,1,2.66666666666667
"44",0,"5",28,"140712","1","1","0","0","1","1","0","1","2",1,0.5,0.766666666666667,28,5,5
"45",0,"5",36,"783007","0","1","0","0","2","0","0","0","0",2,0.333333333333333,0.888888888888889,18,7,2
"46",0,"4",42,"533614","1","0","0","0","0","0","0","0","1",2,0.285714285714286,0.805555555555556,8.4,1,1.6
"47",0,"5",40,"157582","0","4","0","1","3","1","1","2","2",4,0.4,0.825,13.3333333333333,2.33333333333333,1.33333333333333
"48",0,"5",35,"807392","0","3","0","0","4","0","2","4","0",4,0.285714285714286,0.852941176470588,7,1,1.6
"49",0,"5",26,"407619","0","0","0","0","0","0","0","0","0",0,0.333333333333333,0.923076923076923,13,3,2
"50",0,"5",25,"457718","0","1","0","0","2","0","0","2","1",3,0.2,1,8.33333333333333,2.66666666666667,1.66666666666667
"51",0,"4",27,"595791","0","2","0","0","1","0","0","0","0",1,0.5,0.925925925925926,9,1,1.66666666666667
"52",0,"5",46,"307365","0","2","0","1","1","1","1","1","1",1,0.333333333333333,0.891304347826087,11.5,1.5,2.5
"53",0,"4",153,"517171","0","2","0","0","0","0","0","2","0",2,0.4,0.625,15.3,2.6,2.5
"54",0,"3",49,"638130","0","2","0","0","2","0","1","2","0",3,0.333333333333333,0.816326530612245,8.16666666666667,1.66666666666667,1.16666666666667
"55",0.0909090909090909,"5",156,"633068","1","4","2","2","5","1","4","5","3",8,0.294117647058824,0.709677419354839,13,1.33333333333333,2.25
"56",0,"5",15,"117066","0","1","0","0","1","0","0","1","0",1,0.25,0.9375,15,16,14
"57",0,"4",19,"356479","0","0","0","0","0","0","0","0","1",0,0.5,0.894736842105263,9.5,1.5,1
"58",0,"4",47,"747732","0","1","0","0","1","0","1","1","0",1,0.166666666666667,0.711111111111111,9.4,1.4,1.4
"59",0,"4",45,"864017","0","2","0","0","2","0","0","1","1",3,0.25,0.844444444444444,15,1,1.33333333333333
"60",0,"5",100,"867118","0","2","0","0","1","0","0","1","0",2,0.363636363636364,0.6875,14.2857142857143,0.428571428571429,1.28571428571429
"61",0,"4",39,"332707","1","0","1","1","2","1","0","2","1",4,0.333333333333333,0.894736842105263,9.75,1,2.5
"62",0,"5",46,"506734","0","0","0","0","0","0","0","0","0",0,0.285714285714286,0.739130434782609,9.2,1.2,1.8
"63",0,"5",66,"163678","0","1","0","0","2","0","1","1","0",3,0.4,0.742424242424242,11,1.66666666666667,1.66666666666667
"64",0,"4",32,"25559","0","0","0","0","0","0","0","1","0",0,0.333333333333333,0.935483870967742,8,1,1.5
"65",0,"5",97,"669575","0","4","0","0","4","0","1","5","1",5,0.416666666666667,0.74,19.4,1.8,3
"66",0,"5",37,"800719","1","0","0","1","0","0","0","0","1",1,0.2,0.888888888888889,9.25,2.25,1.5
"67",0,"4",64,"416410","0","1","0","0","2","0","1","1","0",2,0.285714285714286,0.65625,12.8,2.2,1
"68",0.166666666666667,"4",89,"352238","0","1","1","1","1","0","1","3","1",3,0.25,0.776470588235294,14.8333333333333,1,2
"69",0,"4",46,"407707","0","0","1","0","0","0","0","0","1",2,0.5,0.822222222222222,15.3333333333333,1,3.66666666666667
"70",0,"5",106,"607237","0","3","0","0","4","0","0","2","2",6,0.3125,0.716981132075472,9.63636363636364,1.63636363636364,1.45454545454545
"71",0,"5",62,"339728","0","0","0","0","0","0","0","0","0",1,0.428571428571429,0.766666666666667,15.5,3,1
"72",0,"5",21,"507680","0","1","0","0","2","0","1","2","0",2,0,0.80952380952381,7,1,1
"73",0,"5",75,"302647","0","5","0","1","6","1","4","4","2",7,0.333333333333333,0.666666666666667,75,8,17
"74",0,"4",5,"690084","0","0","0","0","0","0","0","0","0",0,0,1,5,0,4
"75",0,"5",49,"759022","0","1","1","0","2","1","1","1","1",3,0.25,0.791666666666667,8.16666666666667,1,2.16666666666667
"76",0,"5",17,"741373","0","0","0","0","0","0","0","0","0",0,0,0.882352941176471,8.5,2,1.5
"77",0,"5",104,"148441","1","4","0","1","4","0","1","3","2",6,0.4,0.605769230769231,17.3333333333333,5.83333333333333,0.833333333333333
"78",0.125,"4",95,"424758","0","4","0","0","5","0","2","7","0",7,0.2,0.694736842105263,11.875,1.875,2
"79",0,"5",11,"626825","1","0","0","0","0","0","0","0","1",0,0,1,11,2,4
"80",0,"5",46,"452322","0","1","0","0","2","0","0","2","0",3,0.3,0.822222222222222,7.66666666666667,1.83333333333333,2.33333333333333
"81",0,"5",25,"171704","0","0","0","0","1","0","0","0","0",1,0.4,1,8.33333333333333,4,1.66666666666667
"82",0,"3",56,"227183","0","3","1","0","2","1","2","1","1",2,0.444444444444444,0.777777777777778,11.2,1.8,1.6
"83",0,"4",72,"436420","1","3","1","1","2","1","1","3","2",3,0.3,0.791666666666667,12,1.83333333333333,1.83333333333333
"84",0,"4",37,"37544","0","0","0","0","0","0","1","0","2",0,0.428571428571429,0.891891891891892,9.25,1,1
"85",0,"3",25,"230361","0","1","0","1","1","0","1","1","0",2,0.5,0.92,12.5,1,3.5
"86",0,"4",29,"346571","0","0","0","1","0","1","0","0","1",2,0.25,0.931034482758621,9.66666666666667,1,2
"87",0,"5",19,"475331","0","0","0","0","1","0","1","1","0",1,0.25,0.947368421052632,6.33333333333333,0,1
"88",1,"0",23,"830628","0","0","0","0","0","0","0","0","0",0,0.5,0.869565217391304,23,2,5
"89",0,"5",50,"242540","1","0","1","1","0","1","1","0","3",0,0.333333333333333,0.8,8.33333333333333,2.5,1.33333333333333
"90",0,"5",41,"354481","0","2","1","0","2","0","0","2","1",4,0.142857142857143,0.853658536585366,6.83333333333333,1.16666666666667,1
"91",0,"5",33,"650043","0","0","0","0","0","0","0","0","0",1,0.333333333333333,0.875,16.5,1,2.5
"92",0,"5",89,"259595","1","1","1","1","0","1","1","0","1",2,0.4,0.78494623655914,11.125,1.25,2.375
"93",0,"0",76,"569271","1","1","0","1","1","0","0","1","2",2,0.428571428571429,0.822784810126582,15.2,1.8,3.4
"94",0,"5",31,"484654","0","1","0","1","2","0","2","0","1",3,0.25,0.823529411764706,10.3333333333333,1.33333333333333,3.66666666666667
"95",0.333333333333333,"5",38,"298861","1","0","0","0","0","0","0","0","1",0,0.4,0.921052631578947,12.6666666666667,1,2
"96",0,"5",81,"125547","0","2","0","0","2","0","1","1","1",4,0.357142857142857,0.717948717948718,9,1.55555555555556,1.44444444444444
"97",0,"5",34,"814510","0","0","0","1","0","0","0","0","1",0,0.166666666666667,0.875,8.5,2.25,2
"98",0,"5",51,"331513","2","3","2","2","2","2","2","2","3",2,0.333333333333333,0.826923076923077,12.75,1.25,1.75
"99",0,"5",13,"484780","0","1","0","0","1","0","1","1","0",1,0,1,6.5,2.5,4.5
"100",0,"5",97,"249261","0","0","0","0","2","0","0","0","0",3,0.5,0.6875,16.1666666666667,1.33333333333333,1.66666666666667
"101",0,"5",67,"829838","0","1","0","0","2","0","0","2","0",3,0.375,0.757575757575758,13.4,1.2,2.6
"102",0,"5",50,"303632","0","1","0","0","2","0","0","2","0",3,0.25,0.826923076923077,12.5,2.5,3
"103",0,"5",145,"440701","0","1","0","0","1","1","1","0","1",3,0.363636363636364,0.659574468085106,24.1666666666667,4.66666666666667,3.83333333333333
"104",0,"0",31,"63528","0","0","0","0","0","1","0","0","1",1,0.5,0.838709677419355,15.5,1,2
"105",0,"5",102,"506378","0","0","0","1","2","0","0","2","0",4,0.444444444444444,0.607843137254902,34,0,4.66666666666667
"106",0.333333333333333,"5",30,"538824","0","4","0","0","4","0","2","2","1",4,0,0.90625,15,2,6
"107",0,"0",29,"83069","0","0","0","0","1","0","0","1","1",1,0.333333333333333,0.96551724137931,14.5,1,2
"108",0,"5",42,"313609","0","0","0","0","0","0","0","0","0",0,0.333333333333333,0.80952380952381,10.5,1.5,1.75
"109",0,"5",74,"419719","1","2","1","1","2","2","0","3","2",4,0.375,0.830985915492958,14.8,1.8,2.2
"110",0,"5",12,"646717","0","0","0","0","0","0","0","0","0",0,0,1,6,1,2
"111",0.25,"5",84,"778698","1","2","0","2","2","2","2","1","3",2,0.5,0.682352941176471,21,2.75,2.5
"112",0,"5",30,"521023","0","0","0","0","1","0","0","1","0",1,0.4,0.9,10,1.33333333333333,2
"113",0,"5",10,"365463","0","0","0","0","0","0","0","0","0",1,0,0.9,3.33333333333333,1,0.666666666666667
"114",0,"5",74,"612587","0","2","0","0","2","0","1","2","0",3,0.285714285714286,0.783783783783784,18.5,3,4.5
"115",0,"5",24,"32953","1","2","0","1","3","0","2","3","1",3,0.25,0.958333333333333,8,1,1
"116",0,"5",21,"786845","0","1","0","0","1","0","1","1","0",2,0.5,0.904761904761905,21,1,5
"117",0,"5",46,"141834","1","1","0","1","0","0","0","1","2",2,0.375,0.782608695652174,9.2,3.8,1.4
"118",0.25,"4",74,"310326","0","0","0","0","0","0","0","0","0",1,0.375,0.712328767123288,18.5,2.5,3
"119",0,"5",40,"817003","0","0","0","0","2","0","1","2","0",4,0.428571428571429,0.717948717948718,8,0.8,1.4
"120",0,"5",23,"697881","0","2","0","0","0","0","0","0","0",0,0.25,0.91304347826087,11.5,5,3
"121",0,"5",17,"205594","1","0","1","0","1","0","0","1","2",1,0.333333333333333,0.944444444444444,8.5,1,2.5
"122",0,"5",126,"407961","1","3","1","0","3","0","2","1","1",6,0.357142857142857,0.688524590163934,14,1.66666666666667,2.33333333333333
"123",0,"5",95,"419162","2","2","2","2","3","2","2","3","2",3,0.5,0.707865168539326,31.6666666666667,10.6666666666667,8
"124",0,"3",10,"830360","0","0","0","0","0","0","0","0","0",0,0.5,0.9,10,2,3
"125",0,"5",62,"530889","0","2","1","0","2","0","1","1","3",3,0.375,0.82258064516129,12.4,1.2,2.2
"126",0,"5",52,"581989","1","4","1","0","3","0","1","3","1",4,0.333333333333333,0.87719298245614,26,2,11.5
"127",0,"5",64,"446734","0","1","1","0","2","1","1","2","1",5,0.375,0.8,12.8,1.2,2.6
"128",0,"5",112,"858758","2","5","0","0","4","0","3","2","3",5,0.434782608695652,0.711711711711712,8.61538461538461,1.46153846153846,2.30769230769231
"129",0,"5",49,"707713","0","0","0","0","1","0","1","1","0",3,0.4,0.833333333333333,8.16666666666667,1.33333333333333,1.33333333333333
"130",0,"5",21,"590442","0","0","0","0","1","0","1","1","0",1,0,1,5.25,1,1
"131",0,"5",51,"47802","0","0","0","0","0","0","0","0","1",1,0.5,0.690909090909091,25.5,3,9.5
"132",0,"5",16,"31517","0","0","0","0","1","0","0","0","0",1,0,1,5.33333333333333,1,2
"133",0,"5",51,"590363","1","1","0","0","1","0","1","2","1",3,0.428571428571429,0.862745098039216,12.75,1.25,2
"134",0.333333333333333,"5",42,"294407","0","2","0","0","2","0","0","2","2",2,0.4,0.904761904761905,14,2,2.33333333333333
"135",0.125,"5",73,"751349","0","3","0","1","5","0","0","5","1",6,0.111111111111111,0.763888888888889,9.125,1,1.875
"136",0,"0",27,"593449","0","1","0","0","1","0","1","1","0",1,0.4,0.892857142857143,9,2,1.66666666666667
"137",0,"5",100,"249222","0","1","0","0","1","0","0","1","0",6,0.428571428571429,0.742268041237113,25,1.75,3.25
"138",0,"4",18,"81118","0","1","0","0","1","0","1","1","0",1,0.25,0.941176470588235,6,1,1
"139",0.333333333333333,"0",40,"19392","1","0","1","0","0","1","0","1","1",0,0,0.692307692307692,20,1,1.5
"140",0,"5",77,"308281","1","0","1","1","0","1","0","1","3",2,0.333333333333333,0.792207792207792,12.8333333333333,1.33333333333333,3.16666666666667
"141",0,"4",111,"198819","0","3","0","0","3","0","2","2","1",6,0.285714285714286,0.669642857142857,10.0909090909091,1.18181818181818,1.72727272727273
"142",0,"0",15,"526574","0","0","0","0","0","0","0","0","1",0,0.333333333333333,1,7.5,1.5,2
"143",0.111111111111111,"5",124,"59970","1","3","1","0","2","2","1","2","2",4,0.416666666666667,0.658536585365854,15.5,2.375,3
"144",0,"4",19,"215370","0","1","0","1","1","1","1","1","1",1,0.333333333333333,0.842105263157895,9.5,1,1.5
"145",0.142857142857143,"4",112,"54661","0","4","0","0","2","1","1","3","1",4,0.5,0.675675675675676,28,2.5,7.25
"146",0,"5",66,"294425","2","3","2","2","2","1","1","3","3",4,0.285714285714286,0.772727272727273,13.2,1.2,2.4
"147",0,"5",30,"500791","0","0","0","0","0","0","0","0","0",0,0.333333333333333,0.931034482758621,7.5,1.75,1.75
"148",0,"5",69,"588373","1","1","0","0","1","0","0","1","1",1,0.5,0.720588235294118,17.25,1.5,1.75
"149",0,"5",15,"794258","0","0","0","0","0","0","0","0","0",0,0.4,0.933333333333333,15,10,6
"150",0,"3",38,"604575","0","1","0","0","0","0","0","1","0",2,0.4,0.894736842105263,12.6666666666667,1.66666666666667,1.33333333333333
"151",0.2,"4",97,"351943","0","1","1","0","2","0","0","2","1",3,0.444444444444444,0.78125,24.25,1.75,3.25
"152",0.25,"4",36,"811881","0","0","0","0","0","0","1","0","0",1,0.25,0.916666666666667,9,1,2
"153",0,"4",54,"325549","0","0","0","0","0","0","0","0","1",2,0.333333333333333,0.87719298245614,13.5,1.75,4
"154",0,"5",55,"731583","0","2","0","0","1","0","1","1","0",1,0.333333333333333,0.763636363636364,6.875,1.25,1
"155",0,"5",23,"326760","0","1","1","0","1","0","0","1","2",1,0.4,1,7.66666666666667,0.666666666666667,1.33333333333333
"156",0,"5",68,"289599","0","0","0","0","0","0","0","0","1",0,0.25,0.761194029850746,13.6,1.2,1.2
"157",0,"5",18,"447956","0","0","0","0","0","0","0","0","0",1,0.25,0.888888888888889,6,1.33333333333333,1
"158",0,"5",70,"78173","0","1","1","0","1","0","1","2","1",5,0.375,0.8,14,1.8,2.6
"159",0,"3",24,"20193","0","1","0","0","0","1","0","1","2",2,0.5,0.958333333333333,8,1.33333333333333,1.66666666666667
"160",0,"1",24,"116913","0","0","0","0","0","0","0","0","1",0,0.4,0.875,8,2,2.66666666666667
"161",0,"0",26,"66701","0","0","0","0","0","0","0","0","1",0,0.25,0.769230769230769,8.66666666666667,1,1
"162",0,"5",48,"490417","0","0","0","0","0","0","0","0","0",0,0.375,0.760869565217391,8,1.5,1.83333333333333
"163",0,"5",23,"95362","0","1","0","0","1","0","0","1","0",2,0.333333333333333,1,7.66666666666667,1,1.33333333333333
"164",0,"5",124,"325311","2","2","0","1","2","0","2","1","1",3,0.4,0.677685950413223,13.7777777777778,1.55555555555556,1.66666666666667
"165",0,"0",36,"734585","0","1","0","0","1","0","0","1","0",1,0.4,0.805555555555556,12,1.33333333333333,2.33333333333333
"166",0,"5",73,"850090","0","1","0","1","1","0","0","1","0",3,0.375,0.736111111111111,14.6,1.4,1.6
"167",0.25,"5",37,"836294","0","0","0","0","0","0","0","0","0",1,0.285714285714286,0.891891891891892,7.4,1.2,1
"168",0,"4",17,"640234","0","0","0","0","1","0","0","1","0",1,0.5,0.882352941176471,17,1,2
"169",0,"0",49,"387580","1","0","0","2","3","1","3","2","1",3,0.454545454545455,0.73469387755102,8.16666666666667,1.33333333333333,1.16666666666667
"170",0,"5",61,"216027","0","2","0","0","2","0","1","1","1",2,0.444444444444444,0.819672131147541,12.2,1.6,1
"171",0,"0",49,"706851","1","1","0","1","0","0","0","1","2",1,0.333333333333333,0.729166666666667,12.25,1.5,1
"172",0,"5",41,"802135","0","0","0","0","0","0","0","1","0",1,0.4,0.780487804878049,13.6666666666667,2,1.66666666666667
"173",0,"5",105,"137695","0","2","1","1","2","0","0","2","1",2,0.4,0.705882352941177,13.125,1.875,2.5
"174",0,"5",49,"168841","0","3","0","0","3","0","0","3","0",4,0.5,0.755102040816326,16.3333333333333,1.66666666666667,3.33333333333333
"175",0.166666666666667,"0",157,"815911","0","2","0","1","4","0","2","4","1",8,0.3125,0.58125,14.2727272727273,2.09090909090909,3.27272727272727
"176",0,"5",17,"857375","0","0","0","0","1","0","0","2","0",2,0.333333333333333,0.941176470588235,8.5,1.5,1
"177",0,"5",63,"251106","0","1","0","0","2","0","0","0","0",4,0.25,0.761904761904762,10.5,1.83333333333333,1.66666666666667
"178",0,"4",44,"360314","0","1","0","0","2","0","1","4","1",4,0.2,0.727272727272727,11,1,1
"179",0,"5",22,"733481","0","1","0","0","1","0","0","1","0",1,0.333333333333333,1,11,1,2
"180",0,"5",79,"741981","0","1","0","1","2","0","1","1","0",2,0.416666666666667,0.782051282051282,11.2857142857143,1,1.28571428571429
"181",0,"5",84,"788267","0","2","0","0","2","0","2","2","0",4,0.3,0.765432098765432,28,3.33333333333333,6
"182",0,"5",32,"435437","0","0","0","0","0","0","0","0","0",0,0.4,0.870967741935484,8,1,1.5
"183",0,"0",39,"283243","0","0","0","0","1","0","0","1","0",1,0.5,0.846153846153846,13,2.66666666666667,2.33333333333333
"184",0,"4",69,"41043","0","3","0","0","3","0","1","2","0",4,0.375,0.739130434782609,13.8,1.6,1.8
"185",0,"4",16,"746338","0","1","0","1","0","0","0","0","0",0,0.333333333333333,1,8,1,1.5
"186",0.333333333333333,"5",31,"318673","0","3","0","1","2","0","2","1","0",3,0.4,0.903225806451613,10.3333333333333,1,2.33333333333333
"187",0,"5",1,"97455","0","0","0","0","0","0","0","0","0",0,0,1,1,0,8
"188",0,"5",21,"338243","1","1","0","0","1","0","0","0","1",1,0.333333333333333,0.954545454545455,10.5,1,3
"189",0.25,"5",34,"169337","0","2","0","0","2","0","1","1","0",3,0.2,0.911764705882353,11.3333333333333,1.33333333333333,3.33333333333333
"190",0.166666666666667,"0",49,"76384","0","1","0","1","2","0","1","2","0",3,0.25,0.833333333333333,9.8,2.4,2.6
"191",0,"5",38,"46438","1","0","0","0","0","0","0","0","1",3,0.285714285714286,0.944444444444444,9.5,2.5,2
"192",0,"4",29,"599464","0","1","0","0","1","0","1","1","0",3,0.5,0.964285714285714,9.66666666666667,1.33333333333333,1.33333333333333
"193",0,"5",47,"633952","0","0","0","1","1","0","0","3","0",4,0.375,0.869565217391304,9.4,2.2,2
"194",0,"4",32,"612749","0","2","0","0","1","0","1","1","0",1,0.2,0.9375,4.57142857142857,1.57142857142857,1
"195",0.1,"5",110,"200422","0","0","1","0","1","1","0","0","1",2,0.333333333333333,0.815533980582524,10,2.36363636363636,2.45454545454545
"196",0,"0",72,"254941","0","0","0","1","1","0","0","1","0",1,0.444444444444444,0.708333333333333,14.4,1.4,1.6
"197",0,"2",35,"245598","2","1","2","2","1","2","1","1","2",1,0,0.857142857142857,35,0,1
"198",0,"2",86,"532464","0","2","1","1","3","1","1","2","3",4,0.5,0.662790697674419,17.2,2.2,2.2
"199",0,"5",50,"487335","1","2","0","0","3","0","1","1","0",4,0.5,0.78,12.5,2,2
"200",0.142857142857143,"5",111,"600657","1","0","0","0","1","0","0","1","1",4,0.454545454545455,0.681818181818182,18.5,5.16666666666667,1.83333333333333
"201",0,"3",175,"504051","0","2","1","1","2","1","1","2","2",3,0.45,0.668539325842697,14.5833333333333,2,3.33333333333333
"202",0,"5",8,"642935","0","0","0","0","0","0","0","0","0",0,0,1,4,1,1
"203",0,"4",16,"709233","0","2","0","0","1","0","1","1","0",2,0.4,0.9375,5.33333333333333,1.33333333333333,1
"204",0,"5",24,"770434","0","1","0","1","1","0","0","0","0",1,0.4,0.958333333333333,8,1.66666666666667,1.33333333333333
"205",0,"5",52,"160205","0","1","0","0","1","0","0","0","1",1,0.375,0.788461538461538,10.4,1.2,1
"206",0,"5",81,"786463","1","2","1","1","2","0","1","4","1",5,0.285714285714286,0.75,13.5,1,3.5
"207",0,"5",25,"381022","0","0","0","1","1","0","0","0","1",1,0,0.961538461538462,6.25,2.75,1.75
"208",0,"4",69,"634896","0","3","0","0","2","0","1","2","0",6,0.5,0.716417910447761,17.25,1,1.25
"209",0,"4",74,"269732","1","1","0","2","1","0","1","3","3",3,0.5,0.730769230769231,37,2.5,13
"210",0,"5",49,"109985","0","2","0","0","2","1","1","2","0",2,0.428571428571429,0.872340425531915,12.25,1.25,2
"211",0,"5",90,"4620","0","2","1","0","3","0","1","2","1",4,0.307692307692308,0.747126436781609,11.25,2.25,2.125
"212",0,"4",10,"308124","0","0","0","0","0","0","0","0","0",0,0.333333333333333,1,5,1,1.5
"213",0.166666666666667,"5",56,"130610","0","1","0","0","1","0","0","1","0",2,0.285714285714286,0.851851851851852,18.6666666666667,2.66666666666667,3
"214",0.111111111111111,"5",115,"724143","1","4","1","0","1","1","0","1","2",4,0.421052631578947,0.633928571428571,12.7777777777778,2,2.22222222222222
"215",0,"0",65,"182645","0","2","0","2","1","0","0","1","1",3,0.428571428571429,0.75,16.25,2,1.5
"216",0,"4",36,"351696","0","1","0","0","1","0","1","1","0",1,0.333333333333333,0.864864864864865,12,1.33333333333333,1.33333333333333
"217",0,"5",74,"688387","0","1","0","0","1","0","0","1","0",2,0.4,0.662162162162162,12.3333333333333,2,2
"218",0,"5",66,"464161","1","0","1","1","1","1","0","0","1",1,0.25,0.769230769230769,11,1.5,2.16666666666667
"219",0,"4",62,"207864","1","0","1","1","0","1","0","0","1",1,0.333333333333333,0.741935483870968,10.3333333333333,2,2.33333333333333
"220",0,"5",30,"771373","0","1","0","0","1","0","1","1","0",2,0.333333333333333,0.862068965517241,7.5,1.25,1.25
"221",0,"4",46,"643242","1","0","0","0","0","0","0","0","0",1,0,0.804347826086957,11.5,0,1.75
"222",0,"5",85,"482652","1","1","0","0","2","0","1","1","1",3,0.454545454545455,0.752941176470588,14.1666666666667,2,2.83333333333333
"223",0.0909090909090909,"5",165,"395666","0","3","1","1","2","1","1","4","1",5,0.388888888888889,0.721212121212121,16.5,2.2,2.4
"224",0,"5",33,"44500","0","0","0","0","0","0","0","0","0",1,0.4,0.909090909090909,11,1,1
"225",0,"5",28,"657033","0","0","0","0","0","0","0","0","0",0,0.333333333333333,0.962962962962963,14,1,2
"226",0,"0",12,"281995","0","0","0","0","1","0","0","0","0",1,0.333333333333333,1,6,1,1.5
"227",0,"4",35,"765960","0","1","0","0","2","0","0","1","0",4,0.375,0.914285714285714,7,0.2,1.2
"228",0,"5",74,"119045","0","0","1","1","0","1","0","1","2",1,0.333333333333333,0.72972972972973,12.3333333333333,1.66666666666667,1.33333333333333
"229",0,"5",18,"834866","0","0","0","0","1","0","0","0","0",1,0.5,0.833333333333333,9,1,1
"230",0,"5",46,"382026","0","2","1","1","1","0","1","1","1",2,0.285714285714286,0.787234042553192,11.5,4.25,3.75
